name,gene
"KEGG_RENAL_CELL_CARCINOMA","TGFA"
"KEGG_RENAL_CELL_CARCINOMA","HRAS"
"KEGG_RENAL_CELL_CARCINOMA","PIK3R5"
"KEGG_RENAL_CELL_CARCINOMA","PGF"
"KEGG_RENAL_CELL_CARCINOMA","NRAS"
"KEGG_RENAL_CELL_CARCINOMA","RAP1A"
"KEGG_RENAL_CELL_CARCINOMA","CDC42"
"KEGG_RENAL_CELL_CARCINOMA","HGF"
"KEGG_RENAL_CELL_CARCINOMA","EP300"
"KEGG_RENAL_CELL_CARCINOMA","HIF1A"
"KEGG_RENAL_CELL_CARCINOMA","PIK3CG"
"KEGG_RENAL_CELL_CARCINOMA","PTPN11"
"KEGG_RENAL_CELL_CARCINOMA","ARNT"
"KEGG_RENAL_CELL_CARCINOMA","CREBBP"
"KEGG_RENAL_CELL_CARCINOMA","AKT2"
"KEGG_RENAL_CELL_CARCINOMA","MET"
"KEGG_RENAL_CELL_CARCINOMA","SOS1"
"KEGG_RENAL_CELL_CARCINOMA","SLC2A1"
"KEGG_RENAL_CELL_CARCINOMA","TGFB2"
"KEGG_RENAL_CELL_CARCINOMA","EGLN3"
"KEGG_RENAL_CELL_CARCINOMA","EGLN1"
"KEGG_RENAL_CELL_CARCINOMA","AKT1"
"KEGG_RENAL_CELL_CARCINOMA","TCEB1"
"KEGG_RENAL_CELL_CARCINOMA","VEGFC"
"KEGG_RENAL_CELL_CARCINOMA","TGFB3"
"KEGG_RENAL_CELL_CARCINOMA","PDGFB"
"KEGG_RENAL_CELL_CARCINOMA","EPAS1"
"KEGG_RENAL_CELL_CARCINOMA","PAK3"
"KEGG_RENAL_CELL_CARCINOMA","GAB1"
"KEGG_RENAL_CELL_CARCINOMA","TGFB1"
"KEGG_RENAL_CELL_CARCINOMA","PIK3R3"
"KEGG_RENAL_CELL_CARCINOMA","ETS1"
"KEGG_RENAL_CELL_CARCINOMA","FLCN"
"KEGG_RENAL_CELL_CARCINOMA","FH"
"KEGG_RENAL_CELL_CARCINOMA","VEGFA"
"KEGG_RENAL_CELL_CARCINOMA","RBX1"
"KEGG_RENAL_CELL_CARCINOMA","PAK6"
"KEGG_RENAL_CELL_CARCINOMA","RAP1B"
"KEGG_RENAL_CELL_CARCINOMA","TCEB2"
"KEGG_RENAL_CELL_CARCINOMA","EGLN2"
"KEGG_RENAL_CELL_CARCINOMA","CRK"
"KEGG_RENAL_CELL_CARCINOMA","VEGFB"
"KEGG_RENAL_CELL_CARCINOMA","BRAF"
"KEGG_RENAL_CELL_CARCINOMA","PAK1"
"KEGG_RENAL_CELL_CARCINOMA","CUL2"
"KEGG_SMALL_CELL_LUNG_CANCER","PIK3CB"
"KEGG_SMALL_CELL_LUNG_CANCER","BIRC2"
"KEGG_SMALL_CELL_LUNG_CANCER","COL4A6"
"KEGG_SMALL_CELL_LUNG_CANCER","LAMB3"
"KEGG_SMALL_CELL_LUNG_CANCER","BIRC3"
"KEGG_SMALL_CELL_LUNG_CANCER","RXRG"
"KEGG_SMALL_CELL_LUNG_CANCER","TP53"
"KEGG_SMALL_CELL_LUNG_CANCER","CYCS"
"KEGG_SMALL_CELL_LUNG_CANCER","CCND1"
"KEGG_SMALL_CELL_LUNG_CANCER","AKT3"
"KEGG_SMALL_CELL_LUNG_CANCER","PIK3R2"
"KEGG_SMALL_CELL_LUNG_CANCER","RXRB"
"KEGG_SMALL_CELL_LUNG_CANCER","SKP2"
"KEGG_SMALL_CELL_LUNG_CANCER","PIK3R1"
"KEGG_SMALL_CELL_LUNG_CANCER","APAF1"
"KEGG_SMALL_CELL_LUNG_CANCER","RELA"
"KEGG_SMALL_CELL_LUNG_CANCER","PIAS3"
"KEGG_SMALL_CELL_LUNG_CANCER","PIK3CD"
"KEGG_SMALL_CELL_LUNG_CANCER","PIAS1"
"KEGG_SMALL_CELL_LUNG_CANCER","PIK3CA"
"KEGG_SMALL_CELL_LUNG_CANCER","COL4A4"
"KEGG_SMALL_CELL_LUNG_CANCER","ITGA3"
"KEGG_SMALL_CELL_LUNG_CANCER","TRAF5"
"KEGG_SMALL_CELL_LUNG_CANCER","TRAF3"
"KEGG_SMALL_CELL_LUNG_CANCER","PTGS2"
"KEGG_SMALL_CELL_LUNG_CANCER","PTEN"
"KEGG_SMALL_CELL_LUNG_CANCER","LAMB1"
"KEGG_SMALL_CELL_LUNG_CANCER","TRAF6"
"KEGG_SMALL_CELL_LUNG_CANCER","BCL2"
"KEGG_SMALL_CELL_LUNG_CANCER","NFKB1"
"KEGG_SMALL_CELL_LUNG_CANCER","TRAF4"
"KEGG_SMALL_CELL_LUNG_CANCER","LAMB4"
"KEGG_SMALL_CELL_LUNG_CANCER","E2F2"
"KEGG_SMALL_CELL_LUNG_CANCER","ITGA6"
"KEGG_SMALL_CELL_LUNG_CANCER","ITGA2B"
"KEGG_SMALL_CELL_LUNG_CANCER","FHIT"
"KEGG_SMALL_CELL_LUNG_CANCER","CDK2"
"KEGG_SMALL_CELL_LUNG_CANCER","LAMB2"
"KEGG_SMALL_CELL_LUNG_CANCER","BCL2L1"
"KEGG_SMALL_CELL_LUNG_CANCER","IKBKG"
"KEGG_SMALL_CELL_LUNG_CANCER","CASP9"
"KEGG_SMALL_CELL_LUNG_CANCER","PTK2"
"KEGG_SMALL_CELL_LUNG_CANCER","CCNE1"
"KEGG_SMALL_CELL_LUNG_CANCER","PIK3R5"
"KEGG_SMALL_CELL_LUNG_CANCER","CKS1B"
"KEGG_SMALL_CELL_LUNG_CANCER","LAMA2"
"KEGG_SMALL_CELL_LUNG_CANCER","XIAP"
"KEGG_SMALL_CELL_LUNG_CANCER","LAMA5"
"KEGG_SMALL_CELL_LUNG_CANCER","CDK4"
"KEGG_SMALL_CELL_LUNG_CANCER","TRAF1"
"KEGG_SMALL_CELL_LUNG_CANCER","LAMA3"
"KEGG_SMALL_CELL_LUNG_CANCER","NOS2"
"KEGG_SMALL_CELL_LUNG_CANCER","CHUK"
"KEGG_SMALL_CELL_LUNG_CANCER","LAMA1"
"KEGG_SMALL_CELL_LUNG_CANCER","PIK3CG"
"KEGG_SMALL_CELL_LUNG_CANCER","LAMA4"
"KEGG_SMALL_CELL_LUNG_CANCER","AKT2"
"KEGG_SMALL_CELL_LUNG_CANCER","ITGA2"
"KEGG_SMALL_CELL_LUNG_CANCER","RXRA"
"KEGG_SMALL_CELL_LUNG_CANCER","MAX"
"KEGG_SMALL_CELL_LUNG_CANCER","ITGAV"
"KEGG_SMALL_CELL_LUNG_CANCER","TRAF2"
"KEGG_SMALL_CELL_LUNG_CANCER","ITGB1"
